,Age at Which Sequencing was Reported (Years),Fraction Genome Altered,MSI Score,Mutation Count,Overall Survival (Months),Number of Samples Per Patient,Sample coverage,TMB (nonsynonymous),Tumor Purity,Event
Age at Which Sequencing was Reported (Years),1.0,0.4458361026449278,0.6064021737041462,-0.14950439082395942,0.1595945678677322,0.024878947244250757,-0.20512002192270967,0.02347054879076456,0.0401160030475191,-0.14498435645590882
Fraction Genome Altered,0.4458361026449278,1.0,0.4123279050988856,-0.15188541393071237,0.01714847537526489,-0.11366926260367037,-0.043679328553257325,0.17384550285935435,0.25410497188055725,-0.1498712605520266
MSI Score,0.6064021737041462,0.4123279050988856,1.0,0.40420555183588425,-0.13269643431937628,-0.015565957038381937,-0.3841958375338488,0.47633932290865155,0.445019409103257,-0.05213803514481591
Mutation Count,-0.14950439082395942,-0.15188541393071237,0.40420555183588425,1.0,-0.4362554089494326,-0.19205531989934432,-0.47008116817616946,0.9935994264611699,0.1985896514897329,0.0977328326181847
Overall Survival (Months),0.1595945678677322,0.01714847537526489,-0.13269643431937628,-0.4362554089494326,1.0,-0.07389272785799152,0.24533826810154385,-0.21253364442277656,-0.09782770125620929,-0.17617705238865586
Number of Samples Per Patient,0.024878947244250757,-0.11366926260367037,-0.015565957038381937,-0.19205531989934432,-0.07389272785799152,1.0,-0.11830788082160881,0.033726547442661396,0.11386380220605394,0.3799802978286741
Sample coverage,-0.20512002192270967,-0.043679328553257325,-0.3841958375338488,-0.47008116817616946,0.24533826810154385,-0.11830788082160881,1.0,-0.49909204075916963,0.04063918541419155,0.09092530996442304
TMB (nonsynonymous),0.02347054879076456,0.17384550285935435,0.47633932290865155,0.9935994264611699,-0.21253364442277656,0.033726547442661396,-0.49909204075916963,1.0,0.22201604241538672,0.12210150560977868
Tumor Purity,0.0401160030475191,0.25410497188055725,0.445019409103257,0.1985896514897329,-0.09782770125620929,0.11386380220605394,0.04063918541419155,0.22201604241538672,1.0,0.10126944432977607
Event,-0.14498435645590882,-0.1498712605520266,-0.05213803514481591,0.0977328326181847,-0.17617705238865586,0.3799802978286741,0.09092530996442304,0.12210150560977868,0.10126944432977607,1.0
