,count,mean,std,min,25%,50%,75%,max
Age at Which Sequencing was Reported (Years),39.0,20.871794871794872,8.013736519841832,18.0,18.0,18.0,19.5,54.0
Fraction Genome Altered,42.0,0.31319285714285716,0.22734832884950357,0.0,0.16355,0.27359999999999995,0.433475,0.9736
MSI Score,40.0,1.216,1.6672006324128923,0.0,0.2,0.595,1.4525000000000001,8.71
Mutation Count,30.0,2.6,1.5887535778195694,1.0,1.0,2.5,3.0,7.0
Overall Survival (Months),40.0,27.450399999999995,16.64716699051993,3.649,14.984,31.89,37.57,69.008
Number of Samples Per Patient,42.0,2.142857142857143,0.3541688016605732,2.0,2.0,2.0,2.0,3.0
Sample coverage,42.0,617.0714285714286,206.89238310811083,203.0,487.5,634.5,725.0,1001.0
TMB (nonsynonymous),42.0,1.5288601630238097,1.460685160914527,0.0,0.0,1.3097070855,2.46104171,5.742430656
Tumor Purity,38.0,56.05263157894737,20.604312548355676,10.0,40.0,60.0,70.0,90.0
Event,40.0,0.55,0.5038314736557788,0.0,0.0,1.0,1.0,1.0
